query	lat	lon	lat_min	lat_max	lon_min	lon_max	human_check
north sk, sk, canada	57.052358	-105.757011	NA	NA	NA	NA	Howard - approximate
chatham kent, on, canada	42.41833	-82.0898417	42.0598609	42.6514749	-82.5	-81.62422	none
middlesex london, on, canada	42.982052	-81.2545158	42.9818344	42.9822452	-81.2550215	-81.2541788	none
london, on, canada	42.9836747	-81.2496068	42.8236747	43.1436747	-81.4096068	-81.0896068	none
niagara, on, canada	43.0631891	-79.3098089	42.835372	43.2660321	-79.7539601	-78.9057901	none
brant, on, canada	43.1010804	-80.4288217	42.9828719	43.306513	-80.6087365	-79.9850295	none
hamilton, on, canada	43.255205	-79.868202	43.095205	43.415205	-80.028202	-79.708202	none
huron perth, on, canada	43.383347	-81.0088025	43.3831835	43.383347	-81.0088025	-81.0084547	none
waterloo, on, canada	43.466874	-80.524635	43.4322663	43.5312209	-80.6260904	-80.4674214	none
halton, on, canada	43.5044277	-79.8771403	43.2862845	43.7344342	-80.1611331	-79.6198948	none
toronto, on, canada	43.653963	-79.387207	43.493963	43.813963	-79.547207	-79.227207	none
peel, on, canada	43.745865	-79.7962296	43.4789901	43.9897588	-80.1441184	-79.5398964	none
york region, on, canada	44.0007518	-79.4372217	43.7498495	44.4541746	-79.775505	-79.1561488	none
durham, on, canada	44.0310471	-78.949678	43.7930746	44.5167151	-79.3280424	-78.4319496	none
wellington dufferin guelph, on, canada	44.0761297	-80.1994988	44.0760797	44.0761797	-80.1995488	-80.1994488	none
cfb trenton, rc, canada	44.115316	-77.527717	NA	NA	NA	NA	none
algoma, on, canada	44.28926955	-79.85368585	44.2892099	44.2893223	-79.8538195	-79.8535484	none
kingston, frontenac and lennox & addington, on, canada	44.298424	-76.716239	NA	NA	NA	NA	none
peterborough, on, canada	44.3048009	-78.3199496	44.1448009	44.4648009	-78.4799496	-78.1599496	none
haliburton kawartha pineridge, on, canada	44.414	-78.344	NA	NA	NA	NA	none
simcoe muskoka, on, canada	44.4982537	-80.216729	44.4982037	44.4983037	-80.216779	-80.216679	none
simcoe, on, canada	44.5014007	-79.7038708	43.9514054	44.9418159	-80.5159401	-79.0820597	none
halifax, ns, canada	44.648618	-63.5859487	44.581167	44.7112114	-63.7226577	-63.5431999	none
grey bruce, on, canada	44.7589396	-81.0991597	44.7589396	44.7622106	-81.0991597	-81.094478	none
haliburton kawartha, on, canada	44.81196025	-78.87232034	44.0583614	45.5614551	-79.2604051	-77.9611893	none
southern nb, nb, canada	44.9410195	-66.73329202	44.9363756	44.945719	-66.7380592	-66.7294441	none
cornwall, on, canada	45.0184417	-74.728703	44.8584417	45.1784417	-74.888703	-74.568703	none
eastern ontario, on, canada	45.1507887	-75.96764927	44.0111008	46.294229	-78.4131251	-74.3201062	none
ns, canada	45.1960403	-63.1653789	43.196	47.7610742	-66.6779952	-59.3089909	none
