health_region.x	province	YES	HR_UID	health_region.y
Toronto	Ontario	1	1011	Eastern Regional Integrated Health Authority
Toronto	Ontario	1	1012	Central Regional Integrated Health Authority
Toronto	Ontario	1	1013	Western Regional Integrated Health Authority
Toronto	Ontario	1	1014	Labrador-Grenfell Regional Integrated Health Authority
Toronto	Ontario	1	1100	Prince Edward Island
Toronto	Ontario	1	1211	South Shore District Health Authority
Toronto	Ontario	1	1212	South West Nova District Health Authority
Toronto	Ontario	1	1223	Annapolis Valley District Health Authority
Toronto	Ontario	1	1234	Colchester East Hants Health Authority
Toronto	Ontario	1	1235	Cumberland Health Authority
Toronto	Ontario	1	1246	Pictou County Health Authority
Toronto	Ontario	1	1247	Guysborough Antigonish Strait Health Authority
Toronto	Ontario	1	1258	Cape Breton District Health Authority
Toronto	Ontario	1	1269	Capital District Health Authority
Toronto	Ontario	1	1301	Zone 1
Toronto	Ontario	1	1302	Zone 2
Toronto	Ontario	1	1303	Zone 3
Toronto	Ontario	1	1304	Zone 4
Toronto	Ontario	1	1305	Zone 5
Toronto	Ontario	1	1306	Zone 6
Toronto	Ontario	1	1307	Zone 7
Toronto	Ontario	1	2401	R�gion du Bas-Saint-Laurent
Toronto	Ontario	1	2402	R�gion du Saguenay�Lac-Saint-Jean
Toronto	Ontario	1	2403	R�gion de la Capitale-Nationale
Toronto	Ontario	1	2404	R�gion de la Mauricie et du Centre-du-Qu�bec
Toronto	Ontario	1	2405	R�gion de l'Estrie
Toronto	Ontario	1	2406	R�gion de Montr�al
Toronto	Ontario	1	2407	R�gion de l'Outaouais
Toronto	Ontario	1	2408	R�gion de l'Abitibi-T�miscamingue
Toronto	Ontario	1	2409	R�gion de la C�te-Nord
Toronto	Ontario	1	2410	R�gion du Nord-du-Qu�bec
Toronto	Ontario	1	2411	R�gion de la Gasp�sie��les-de-la-Madeleine
Toronto	Ontario	1	2412	R�gion de la Chaudi�re-Appalaches
Toronto	Ontario	1	2413	R�gion de Laval
Toronto	Ontario	1	2414	R�gion de Lanaudi�re
Toronto	Ontario	1	2415	R�gion des Laurentides
Toronto	Ontario	1	2416	R�gion de la Mont�r�gie
Toronto	Ontario	1	2417	R�gion du Nunavik
Toronto	Ontario	1	2418	R�gion des Terres-Cries-de-la-Baie-James
Toronto	Ontario	1	3526	The District of Algoma Health Unit
Toronto	Ontario	1	3527	Brant County Health Unit
Toronto	Ontario	1	3530	Durham Regional Health Unit
Toronto	Ontario	1	3531	Elgin-St. Thomas Health Unit
Toronto	Ontario	1	3533	Grey Bruce Health Unit
Toronto	Ontario	1	3534	Haldimand-Norfolk Health Unit
Toronto	Ontario	1	3535	Haliburton, Kawartha, Pine Ridge District Health Unit
Toronto	Ontario	1	3536	Halton Regional Health Unit
Toronto	Ontario	1	3537	City of Hamilton Health Unit
Toronto	Ontario	1	3538	Hastings and Prince Edward Counties Health Unit
Toronto	Ontario	1	3539	Huron County Health Unit
Toronto	Ontario	1	3540	Chatham-Kent Health Unit
Toronto	Ontario	1	3541	Kingston, Frontenac and Lennox and Addington Health Unit
Toronto	Ontario	1	3542	Lambton Health Unit
Toronto	Ontario	1	3543	Leeds, Grenville and Lanark District Health Unit
Toronto	Ontario	1	3544	Middlesex-London Health Unit
Toronto	Ontario	1	3546	Niagara Regional Area Health Unit
Toronto	Ontario	1	3547	North Bay Parry Sound District Health Unit
Toronto	Ontario	1	3549	Northwestern Health Unit
Toronto	Ontario	1	3551	City of Ottawa Health Unit
Toronto	Ontario	1	3552	Oxford County Health Unit
Toronto	Ontario	1	3553	Peel Regional Health Unit
Toronto	Ontario	1	3554	Perth District Health Unit
Toronto	Ontario	1	3555	Peterborough County - City Health Unit
Toronto	Ontario	1	3556	Porcupine Health Unit
Toronto	Ontario	1	3557	Renfrew County and District Health Unit
Toronto	Ontario	1	3558	The Eastern Ontario Health Unit
Toronto	Ontario	1	3560	Simcoe Muskoka District Health Unit
Toronto	Ontario	1	3561	Sudbury and District Health Unit
Toronto	Ontario	1	3562	Thunder Bay District Health Unit
Toronto	Ontario	1	3563	Timiskaming Health Unit
Toronto	Ontario	1	3565	Waterloo Health Unit
Toronto	Ontario	1	3566	Wellington-Dufferin-Guelph Health Unit
Toronto	Ontario	1	3568	Windsor-Essex County Health Unit
Toronto	Ontario	1	3570	York Regional Health Unit
Toronto	Ontario	1	3595	City of Toronto Health Unit
Toronto	Ontario	1	4601	Winnipeg Regional Health Authority
Toronto	Ontario	1	4602	Prairie Mountain Health
Toronto	Ontario	1	4603	Interlake-Eastern Regional Health Authority
Toronto	Ontario	1	4604	Northern Regional Health Authority
Toronto	Ontario	1	4605	Southern Health
Toronto	Ontario	1	4701	Sun Country Regional Health Authority
Toronto	Ontario	1	4702	Five Hills Regional Health Authority
Toronto	Ontario	1	4703	Cypress Regional Health Authority
Toronto	Ontario	1	4704	Regina Qu'Appelle Regional Health Authority
Toronto	Ontario	1	4705	Sunrise Regional Health Authority
Toronto	Ontario	1	4706	Saskatoon Regional Health Authority
Toronto	Ontario	1	4707	Heartland Regional Health Authority
Toronto	Ontario	1	4708	Kelsey Trail Regional Health Authority
Toronto	Ontario	1	4709	Prince Albert Parkland Regional Health Authority
Toronto	Ontario	1	4710	Prairie North Regional Health Authority
Toronto	Ontario	1	4711	Mamawetan Churchill River Regional Health Authority
Toronto	Ontario	1	4712	Keewatin Yatth� Regional Health Authority
Toronto	Ontario	1	4713	Athabasca Health Authority
Toronto	Ontario	1	4831	South Zone
Toronto	Ontario	1	4832	Calgary Zone
Toronto	Ontario	1	4833	Central Zone
Toronto	Ontario	1	4834	Edmonton Zone
Toronto	Ontario	1	4835	North Zone
Toronto	Ontario	1	5911	East Kootenay Health Service Delivery Area
Toronto	Ontario	1	5912	Kootenay-Boundary Health Service Delivery Area
Toronto	Ontario	1	5913	Okanagan Health Service Delivery Area
Toronto	Ontario	1	5914	Thompson/Cariboo Health Service Delivery Area
Toronto	Ontario	1	5921	Fraser East Health Service Delivery Area
Toronto	Ontario	1	5922	Fraser North Health Service Delivery Area
Toronto	Ontario	1	5923	Fraser South Health Service Delivery Area
Toronto	Ontario	1	5931	Richmond Health Service Delivery Area
Toronto	Ontario	1	5932	Vancouver Health Service Delivery Area
Toronto	Ontario	1	5933	North Shore/Coast Garibaldi Health Service Delivery Area
Toronto	Ontario	1	5941	South Vancouver Island Health Service Delivery Area
Toronto	Ontario	1	5942	Central Vancouver Island Health Service Delivery Area
Toronto	Ontario	1	5943	North Vancouver Island Health Service Delivery Area
Toronto	Ontario	1	5951	Northwest Health Service Delivery Area
Toronto	Ontario	1	5952	Northern Interior Health Service Delivery Area
Toronto	Ontario	1	5953	Northeast Health Service Delivery Area
Toronto	Ontario	1	6001	Yukon
Toronto	Ontario	1	6101	Northwest Territories
Toronto	Ontario	1	6201	Nunavut
Vancouver Coastal	BC	1	1011	Eastern Regional Integrated Health Authority
Vancouver Coastal	BC	1	1012	Central Regional Integrated Health Authority
Vancouver Coastal	BC	1	1013	Western Regional Integrated Health Authority
Vancouver Coastal	BC	1	1014	Labrador-Grenfell Regional Integrated Health Authority
Vancouver Coastal	BC	1	1100	Prince Edward Island
Vancouver Coastal	BC	1	1211	South Shore District Health Authority
Vancouver Coastal	BC	1	1212	South West Nova District Health Authority
Vancouver Coastal	BC	1	1223	Annapolis Valley District Health Authority
Vancouver Coastal	BC	1	1234	Colchester East Hants Health Authority
Vancouver Coastal	BC	1	1235	Cumberland Health Authority
Vancouver Coastal	BC	1	1246	Pictou County Health Authority
Vancouver Coastal	BC	1	1247	Guysborough Antigonish Strait Health Authority
